"ID objave","ID strani","Ime strani",Naziv,Opis,"Trajanje (s)","Čas objave","Vrsta opisa","Trajna povezava","Je navzkrižna objava","Je delitev","Vrsta objave",Jeziki,"Oznake po meri","Stanje financirane vsebine","Komentar glede podatkov",Datum,"Odzivi, komentarji in delitve","Negative feedback from users","Edinstvene negativne povratne informacije uporabnikov","Negativne povratne informacije uporabnikov: Skrij vse","Edinstvene negativne povratne informacije uporabnikov: Skrij vse","Ocenjeni zaslužki (USD)","Prikazi oglasov","Dodaj CPM (USD)","Ogledi 3-sekundnih videov po najbolj priljubljeni ciljni publiki (F, 35-44)","Ogledi 3-sekundnih videov po najbolj priljubljeni ciljni publiki (M, 55-64)","Ogledi 3-sekundnih videov po najbolj priljubljeni ciljni publiki (F, 45-54)","Ogledi 3-sekundnih videov po najbolj priljubljeni ciljni publiki (M, 35-44)","Ogledi 3-sekundnih videov po najbolj priljubljeni ciljni publiki (F, 25-34)","Ogledi 3-sekundnih videov po najbolj priljubljeni ciljni publiki (M, 18-24)","Ogledi 3-sekundnih videov po najbolj priljubljeni ciljni publiki (M, 45-54)","Ogledi 3-sekundnih videov po najbolj priljubljeni ciljni publiki (M, 25-34)","Ogledi 3-sekundnih videov po najbolj priljubljeni ciljni publiki (F, 55-64)","Ogledi 3-sekundnih videov po najbolj priljubljeni ciljni publiki (F, 18-24)","Ogledi 3-sekundnih videov po najbolj priljubljeni ciljni publiki (F, 65+)","Ogledi 3-sekundnih videov po najbolj priljubljeni ciljni publiki (M, 65+)","Ogledi 3-sekundnih videov po državah (Slovenia (SI))","Ogledi 3-sekundnih videov po državah (United States (US))","Ogledi 3-sekundnih videov po državah (Bosnia and Herzegovina (BA))"
648008551342374,100083997030575,"Coding Giants Slovenija","[VSAK MOJSTER JE BIL NEKOČ ZAČETNIK] 🧡  
💡V tečajih Coding Giants  spoznavamo osnove programiranja tudi v okolju Minecraft Education Editon!  
To odlično orodje otrokom omogoča, da se učijo programiranja na zabaven in zanimiv način. 🎮💻  

💡 Otroci lahko preizkušajo različne rešitve in programske algoritme – učijo se po principu ""poskusi in izboljšaj"", kar spodbuja logično razmišljanje in vztrajnost. Spoznajo, da se napak ni potrebno bati, ampak, da se je iz napak mogoče vedno kaj naučiti. :-)

V naši šoli programiranja znanje raste skupaj z otroško radovednostjo! 🌱👩‍💻👦  

#šola #učenje #programiranje #otrok #otroci #mladina #ustvarjalnost #maribor #slovenija #slovenia #ditalnatransformacija #sola #zabava #digital #school #digitalschool #codinggiants #digisi @followers",,0,"04/16/2025 08:50",N/A,https://www.facebook.com/CodingGiants.SI/posts/pfbid02MD1xGqhQgMhRaBkrDcybv5Ny4HkkU3giY5omJgK3tCN4aLzwmbpf24tEwf27ADWRl,0,0,Fotografije,,,,,"Življenjska doba",23,0,0,,,,,,,,,,,,,,,,,,,,
643360928473803,100083997030575,"Coding Giants Slovenija","👀 Mnogi starši se sprašujejo: Kako naj otroku pomagamo, da uravnoteženo uporablja digitalne naprave?

💬 Delite svoje izkušnje in nasvete v komentarju. Skupaj poiščimo poti, kako otrokom pokazati, da obstaja tudi svet zunaj zaslonov.

#šola #učenje #programiranje #otrok #otroci #mladina #ustvarjalnost #maribor #slovenija #slovenia #ditalnatransformacija #sola #zabava #digital #school #digitalschool #codinggiants #digisi @followers #digisi",,0,"04/10/2025 09:01",N/A,https://www.facebook.com/CodingGiants.SI/posts/pfbid0JzNLoKX4VbYi2okgmdppSC8AqGk1MB44yF66gPNojH3cQXXGkTK8e5J1QQU2aJ8Xl,0,0,Fotografije,,,,,"Življenjska doba",2,0,0,,,,,,,,,,,,,,,,,,,,
914699254673301,100083997030575,"Coding Giants Slovenija","Materinski dan je dan, ko se spomnimo, koliko nevidnih supermoči imajo mame.
One so tiste, ki skrbijo, da otroci pridejo na treninge, krožke, rojstnodnevne zabave, tečaje in delavnice.
One so tiste, ki jih prijavljajo na aktivnosti, jih spodbujajo, ko poskušajo nekaj novega, in jih tolažijo, ko ne gre po načrtu.
In seveda — one so tiste, ki vedno najdejo čas za objem, igro, pomoč pri nalogah in nasmeh.

Naš robotek na grafiki nosi posebno sporočilo, QR koda pa skriva še majhno presenečenje, ki ga lahko otroci podarijo svojim mamam.

Vse mame: hvala, ker ste vsak dan naš najljubši program. 💛

#MaterinskiDan #CodingGiantsSlovenija #HvalaMami",,0,"03/25/2026 02:00",N/A,https://www.facebook.com/CodingGiants.SI/posts/pfbid02YESe2hJx8EV5D2yHwmfnKLDzLkavMZH2goTNF5zP7huX4VBMseJH9cRZsubBxu3Cl,0,0,Fotografije,,,,,"Življenjska doba",4,0,0,,,,,,,,,,,,,,,,,,,,
912203021589591,100083997030575,"Coding Giants Slovenija","Napake v kodi niso sovražnik — so najboljši učitelj.
Zato imamo radi takšne mini izzive, kjer morajo otroci sami opaziti, kaj je narobe, in razmisliti, kako bi to popravili.

Pri Coding Giants Slovenija otroke spodbujamo, da najprej poskusijo sami najti rešitev, šele nato pa preverijo, ali so imeli prav.
To gradi logiko, samozavest in pravo “programersko oko”.

Če želiš, da tvoj otrok preizkusi še več takšnih izzivov, ga lahko prijaviš na brezplačno delavnico.

🔗 Prijava na brezplačno delavnico: https://bit.ly/CwGBrezplacno

#CodingGiantsSlovenija #Debugging #NajdiNapako #MladiProgramer",,0,"03/22/2026 02:00",N/A,https://www.facebook.com/CodingGiants.SI/posts/pfbid0op3kpntNtNRJjKcv84DMCkXRinuchVVDvMavSDFQdCAVegKoe3qftPPP46eFDioxl,0,0,Fotografije,,,,,"Življenjska doba",3,0,0,,,,,,,,,,,,,,,,,,,,
910442721765621,100083997030575,"Coding Giants Slovenija","Vsak mladi programer potrebuje dobre temelje — in prav zato smo pripravili začetni paket, ki otrokom pomaga narediti prve korake v svet kodiranja na zabaven, ustvarjalen in motivacijski način.

Pri Coding Giants Slovenija verjamemo, da se najboljše učenje zgodi takrat, ko otrok lahko raziskuje, ustvarja in se ob tem počuti ponosno na svoje prve projekte.
Z našimi začetnimi materiali otroci spoznajo osnovne koncepte programiranja, razvijajo logično razmišljanje in dobijo samozavest, da nadaljujejo svojo pot.

Če želiš, da tvoj otrok odkrije, kako zabavno je programiranje, ga lahko prijaviš na brezplačno delavnico, kjer bo vse to preizkusil v praksi.

🔗 Prijava na brezplačno delavnico: https://bit.ly/CwGBrezplacno

#CodingGiantsSlovenija #MladiProgramer #ProgramiranjeZaOtroke #DigitalneVesčine",,0,"03/20/2026 02:01",N/A,https://www.facebook.com/CodingGiants.SI/posts/pfbid05VzEPQbdeo98CHRVToXcvv5wDjEMEALBTnbQjSF66m7tasZUL1e9pHDz9nUK9VYil,0,0,Fotografije,,,,,"Življenjska doba",3,0,0,,,,,,,,,,,,,,,,,,,,
908801165263110,100083997030575,"Coding Giants Slovenija","Vedno več mladih programerjev začne svojo pot tako, da najprej odprejo ChatGPT — šele potem pa pomislijo na HTML, CSS, JavaScript ali algoritme.
In ja, UI je super orodje. Ampak brez osnov se hitro zgodi, da ne razumejo, zakaj nekaj deluje, ali pa ne znajo popraviti napak, ko predlogi ne delujejo.

Pri Coding Giants Slovenija učimo, da je UI pomočnik, ne bližnjica.
Najprej osnove. Potem logika. Potem razumevanje. In šele nato ChatGPT kot orodje, ki pospeši učenje — ne pa ga nadomesti.

🔗 Prijava na brezplačno delavnico: https://bit.ly/CwGBrezplacno

#CodingGiantsSlovenija #ProgramiranjeZaOtroke #UčenjePoKorakih #DigitalneVesčine",,0,"03/18/2026 02:00",N/A,https://www.facebook.com/CodingGiants.SI/posts/pfbid02QRf5VCYFGKAFkt9PRYZv1FEJqVGZK3wxxXyPysxf2RTDT8Be7Ewq9jBCHP2yZnZpl,0,0,Fotografije,,,,,"Življenjska doba",4,0,0,,,,,,,,,,,,,,,,,,,,
905744465568780,100083997030575,"Coding Giants Slovenija","Prihodnost ne pripada tistim, ki jo samo opazujejo, ampak tistim, ki jo znajo ustvariti.
Programiranje otrokom in mladim odpira vrata v svet, kjer lahko svoje ideje spremenijo v resnične projekte — od iger in aplikacij do pametnih rešitev za vsakdan.

Pri Coding Giants Slovenija učimo na način, ki spodbuja ustvarjalnost, logično razmišljanje in samozavest pri delu s tehnologijo.
Če želiš, da tvoj otrok naredi prve korake v svet programiranja na zabaven in dostopen način, je to idealna priložnost.

🔗 Prijava na brezplačno delavnico: https://bit.ly/CwGBrezplacno

#CodingGiantsSlovenija #ProgramiranjeZaOtroke #DigitalneVesčine #UstvariPrihodnost",,0,"03/14/2026 02:02",N/A,https://www.facebook.com/CodingGiants.SI/posts/pfbid06ePR8dUc6osAApGsySKiPWMsU5SNom1BYxfy5nWfFYEBRVrhb6JYrLjagMURKyukl,0,0,Fotografije,,,,,"Življenjska doba",4,0,0,,,,,,,,,,,,,,,,,,,,
904106692399224,100083997030575,"Coding Giants Slovenija","Matematika je temelj logičnega razmišljanja, programiranje pa njena naravna nadgradnja.
Ko otroci povežejo številke, vzorce in algoritme, začnejo razumevati svet tehnologije na čisto nov način.

Pri Coding Giants Slovenija jim to pokažemo skozi praktične primere, igre in ustvarjanje lastnih projektov.
Če želiš, da tvoj otrok matematiko doživi na zabaven, uporaben in sodoben način, je to odlična priložnost.

🔗 Prijava na brezplačno delavnico: https://bit.ly/CwGBrezplacno

#CodingGiantsSlovenija #SvetovniDanMatematike #ProgramiranjeZaOtroke #STEM",,0,"03/12/2026 02:00",N/A,https://www.facebook.com/CodingGiants.SI/posts/pfbid02zw3NmHp4Zh9DphGbAcsy825GhR2X6T5Tsx7jHrJLwL6sigHSFFPpGyfoXZVqmn6gl,0,0,Fotografije,,,,,"Življenjska doba",8,0,0,,,,,,,,,,,,,,,,,,,,
902632995879927,100083997030575,"Coding Giants Slovenija","Coding Giants Slovenija je del mednarodne skupnosti, ki otrokom po svetu približuje programiranje na sodoben, zabaven in dostopen način.
Naša prisotnost v številnih državah pomeni, da se otroci učijo po preverjenih metodah, ki jih uporabljajo mladi programerji po vsem svetu.

Globalna mreža nam omogoča:
• izmenjavo najboljših praks,
• razvoj kakovostnih učnih programov,
• povezovanje otrok z mednarodnim tehnološkim okoljem,
• ustvarjanje skupnosti, ki spodbuja radovednost in inovativnost.

Ponosni smo, da je Slovenija del te zgodbe — in da lahko otrokom odpremo vrata v svet digitalnih veščin.

#CodingGiantsSlovenija #GlobalnaSkupnost #ProgramiranjeZaOtroke #DigitalneVesčine",,0,"03/10/2026 02:00",N/A,https://www.facebook.com/CodingGiants.SI/posts/pfbid033kXepgegLMmMLh3wxrDCbRTKBxFvebeDEW4oAJa4kUF5asBHcc2iSm7mVGLa1ruzl,0,0,Fotografije,,,,,"Življenjska doba",9,0,0,,,,,,,,,,,,,,,,,,,,
894340806709146,100083997030575,"Coding Giants Slovenija","Ali veste, katere funkcije ponuja GitHub Copilot? 🤖⚡  
GitHub Copilot je postal nepogrešljiv pomočnik številnim programerjem, saj močno pospeši razvoj in olajša delo pri vsakodnevnih nalogah.

➤ Predlogi kode: Copilot predlaga optimalne dopolnitve glede na kontekst in najboljše prakse.
➤ Generiranje kode iz naravnega jezika: Opis v navadnem jeziku spremeni v delujočo kodo, kar močno skrajša čas razvoja.
➤ Ustvarjanje enotnih testov: Samodejno pripravi testne predloge za razrede in metode.
➤ Klepetalna podpora: Odgovarja na vprašanja o kodi, pomaga pri razumevanju napak in predlaga rešitve.

Takšna orodja razvijalcem omogočajo, da se osredotočijo na logiko, arhitekturo in reševanje problemov — medtem ko UI prevzame ponavljajoče se naloge.

#CodingGiantsSlovenija #GitHubCopilot #Programiranje #UmetnaInteligenca",,0,"02/27/2026 01:00",N/A,https://www.facebook.com/CodingGiants.SI/posts/pfbid02AenXhvHx5d5KAZn2QBdWjht1i4yQKqYDt3jKVAcBf7BZ7CbYcVcejmSDfZ6Ya1ocl,0,0,Fotografije,,,,,"Življenjska doba",4,0,0,,,,,,,,,,,,,,,,,,,,
